Title;Simulation;Agriculture & Food;Art;Convention Industry;E-Commerce;Education;Entertainment;Finance;Healthcare;Infrastructure;Manufacturing;Public Sector;Real-Estate;Research;Social Sector;Sport;Tourism;Avatar;Environment;Interaction;Year
Digital Health Professions Education in the Field of Pediatrics: Systematic Review and Meta-Analysis by the Digital Health Education Collaboration;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2019
Virtual Surgery for the Nasal Airway;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2018
Development and assessment of CootVR, a virtual reality computer program for model building;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2021
Using smartphone-delivered stereoscopic vision in microsurgery: a feasibility study;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;;2019
Virtual Reality Provides an Effective Platform for Functional Evaluations of Closed-Loop Neuromyoelectric Control;Digital Twin;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2019
UnityMol prototype for FAIR sharing of molecular-visualization experiences: from pictures in the cloud to collaborative virtual reality exploration in immersive 3D environments;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2021
Visualizing biomolecular electrostatics in virtual reality with UnityMol-APBS;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2020
Biosignal-Based Human–Machine Interfaces for Assistance and Rehabilitation: A Survey;Simulation;;;;;;;;Healthcare;;;;;;;;;Avatar;Environment;Interaction;2021
Foveation Pipeline for 360 degrees Video-Based Telemedicine;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2020
Quantifying the alignment error and the effect of incomplete somatosensory feedback on motor performance in a virtual brain–computer-interface setup;Simulation;;;;;;;;Healthcare;;;;;;;;;Avatar;Environment;Interaction;2021
Human-In-The-Loop Assessment of an Ultralight, Low-Cost Body Posture Tracking Device;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2020
Assessing reactive violence using Immersive Virtual Reality;Simulation;;;;;;;;Healthcare;;;;;;;;;Avatar;Environment;Interaction;2022
Font Design Optimization Model for New Media Short Video Based on Virtual Reality Digital Processing Technology;Simulation;;Art & Design;;;;;;;;;;;;;;;;Environment;Interaction;2022
A Method for 3D Reconstruction and Virtual Reality Analysis of Glial and Neuronal Cells;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2019
Predicting driving speed from psychological metrics in a virtual reality car driving simulation;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2022
Effectiveness of robot-assisted virtual reality mirror therapy for upper limb motor dysfunction after stroke: study protocol for a single-center randomized controlled clinical trial;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;;2022
Development of an Integrated Virtual Reality System with Wearable Sensors for Ergonomic Evaluation of Human–Robot Cooperative Workplaces;Simulation;;;;;;;;;;Manufacturing;;;;;;;;Environment;Interaction;2022
Effect of 3-Dimensional Virtual Reality Models for Surgical Planning of Robotic-Assisted Partial Nephrectomy on Surgical Outcomes: A Randomized Clinical Trial | Minimally Invasive Surgery | JAMA Network Open | JAMA Network;Simulation;;;;;;;;Healthcare;;;;;;;;;;;;
Development of a virtual reality platform for effective communication of structural data in drug discovery;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2019
BigTop: a three-dimensional virtual reality tool for GWAS visualization;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2020
Towards a hybrid user interface for the visual exploration of large biomolecular networks using virtual reality;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2022
Immersive Telepresence and Remote Collaboration using Mobile and Wearable Devices;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2019
Application of Immersive Virtual Reality Interactive Technology in Art Design Teaching;Digital Twin;;Art & Design;;;Education;;;;;;;;;;;;;Environment;Interaction;2022
The Virtual Reality Lab: Realization and Application of Virtual Sound Environments;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2020
Virtual Reality Technology of New Media Visual Simulation;Simulation;;Art & Design;;;;;;;;;;;;;;;;Environment;Interaction;2022
Realization of Music-Assisted Interactive Teaching System Based on Virtual Reality Technology;Simulation;;Art & Design;;;Education;;;;;;;;;;;;Avatar;Environment;Interaction;2022
A systematic review on the usability of robotic and virtual reality devices in neuromotor rehabilitation: patients' and healthcare professionals' perspective;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2022
Toggle toolkit: A tool for conducting experiments in unity virtual environments;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2021
Not Alone Here? Scalability and User Experience of Embodied Ambient Crowds in Distributed Social Virtual Reality;Simulation;;;;;;;;Healthcare;;;;;;Social Sector;;;Avatar;Environment;Interaction;2019
A non-contact interactive stereo display system for exploring human anatomy;Simulation;;;;;;;;;;;;;;;;;;Environment;Interaction;2019
A systematic approach to parameter selection for CAD-virtual reality data translation using response surface methodology and MOGA-II;Simulation;;Art & Design;;;;;;;;;;;;;;;;Environment;Interaction;2018
VRPharmer: bringing virtual reality into pharmacophore-based virtual screening with interactive exploration and realistic visualization;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2022
Development and Initial Evaluation of a Novel, Ultraportable, Virtual Reality Bronchoscopy Simulator: The Computer Airway Simulation System;Simulation;;;;;Education;;;Healthcare;;;;;;;;;;Environment;;2019
A Novel Gesture-Based Control System for Fluorescence Volumetric Data in Virtual Reality;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2021
The Development and Realization of Digital Panorama Media Technology Based on VR Technology;Simulation;;;;;;;;;;;;;;;;Tourism;;Environment;Interaction;2022
A multimedia speech corpus for audio visual research in virtual reality (L);Simulation;;;;;;;;;;;;;Research;;;;;Environment;;2020
AI enabled sign language recognition and VR space bidirectional communication using triboelectric smart glove;Digital Twin;;;;;Education;;;;;;;;;;;;Avatar;Environment;Interaction;2021
Using virtual 3D-models in surgical planning: workflow of an immersive virtual reality application in liver surgery;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2021
ConfocalVR: Immersive Visualization for Confocal Microscopy;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2018
Application of Virtual Reality Based on 3D-CTA in Intracranial Aneurysm Surgery;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2021
Virtual Reality Biofeedback in Health: A Scoping Review;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2022
Using mobile virtual reality to enhance medical comprehension and satisfaction in patients and their families;Simulation;;;;;Education;;;Healthcare;;;;;;;;;;Environment;Interaction;2019
Towards Placental Surface Vasculature Exploration in Virtual Reality;Simulation;;;;;;;;Healthcare;;;;;Research;;;;;Environment;Interaction;2020
Machine learning distinguishes neurosurgical skill levels in a virtual reality tumor resection task;Simulation;;;;;Education;;;Healthcare;;;;;;;;;;Environment;Interaction;2020
Marine debris awareness improvement using immersive virtual reality;Simulation;;;;;Education;;;;;;Public Sector;;;;;;;Environment;Interaction;2023
The emerging potential of interactive virtual reality in drug discovery;Simulation;;;;;;;;;;;;;Research;;;;;Environment;Interaction;2022
Using Virtual Reality (VR) Mock-Ups for Evidence-Based Healthcare Facility Design Decisions;Simulation;;;;;;;;Healthcare;;;;Real-Estate;;;;;;Environment;Interaction;2021
Simulation-based assessments of fire emergency preparedness and response in virtual reality;Simulation;;;;;;;;;;;Public Sector;;;;;;;Environment;Interaction;2022
Measurement and Inspection of Photo-Realistic 3-D VR Models;Digital Twin;;;;;;;;;;Manufacturing;;;;;;;;Environment;Interaction;2021
Systematic Bibliometric Analysis of Research Hotspots and Trends on the Application of Virtual Reality in Nursing;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2022
Computational models for biomedical reasoning and problem solving;Simulation;;;;;;;;Healthcare;;;;;Research;;;;Avatar;Environment;Interaction;2019
Natural teaching for humanoid robot via human-in-the-loop scene-motion cross-modal perception;Simulation;;;;;;;;;;Manufacturing;;;Research;;;;;Environment;Interaction;2019
Disruptive Maintenance Engineering 4.0;Digital Twin;;;;;;;;;;Manufacturing;;;;;;;;Environment;Interaction;2020
Futures, biometrics and neuroscience research;Simulation;;;;E-Commerce;Education;;Finance;;;Manufacturing;;Real-Estate;Research;;;Tourism;Avatar;Environment;Interaction;2018
Technology and business strategy: digital uncertainty and digital solutions;Digital Twin;Agriculture & Food;;;;Education;;Finance;Healthcare;;Manufacturing;Public Sector;Real-Estate;;;;;;Environment;Interaction;2021
The technological impact on real estate investing : robots vs humans: new applications for organisational and portfolio strategies;Simulation;;;;;;;Finance;;;;;;;;;;;Environment;;2020
The Executive Guide to Blockchain : Using Smart Contracts and Digital Currencies in your Business;Simulation;;;;;;;Finance;;Infrastructure;Manufacturing;Public Sector;;;;;;;Environment;Interaction;2020
Handbook of Research on Digital Communications, Internet of Things, and the Future of Cultural Tourism;Simulation;;;;;;;;;;;;;;;;Tourism;Avatar;Environment;Interaction;2022
Psycho-Physiological Restoration with Audio-Visual Interaction Through Soundscape and Landscape Experience;Simulation;;;;;;;;Healthcare;;;;;;;;;;Environment;Interaction;2022
Real estate and GIS : the application of mapping technologies;Simulation;;;;;;;;;;;;Real-Estate;;;;;;Environment;Interaction;2018
Presenting hotels in virtual reality: does it influence the booking intention?;Simulation;;;;;;;;;;;;;;;;Tourism;;Environment;Interaction;2019
Technology Advances and Innovation in Wine Tourism : New Managerial Approaches and Cases;Simulation;Agriculture & Food;;;;;;;;;;;;;;;Tourism;;Environment;Interaction;2023
Personalizing 3D virtual fashion stores : an action research approach to modularity development;Simulation;;;;E-Commerce;;;;;;;;;;;;;Avatar;Environment;Interaction;2021
Virtual reality in social marketing: a process evaluation;Simulation;;;;E-Commerce;;;;;;;;;;;;;;Environment;Interaction;2019
Prioritizing marketing research in virtual reality : development of an immersion/fantasy typology;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2019
Virtual reality in tourism : a state-of-the-art review;Simulation;;;;;;;;;;;;;;;;Tourism;Avatar;Environment;Interaction;2019
Future perspectives on progressive farming with adoption of virtual reality technology for sustainable quality in agriculture;Simulation;Agriculture & Food;;;;;;;;;;;;;;;;;Environment;Interaction;2021
Digital artifacts in industrial co-creation : how to use VR technology to bridge the provider-customer boundary;Simulation;;;;;;;;;;Manufacturing;;;;;;;;Environment;Interaction;2020
The use of virtual tours to stimulate consumers’ buying and visit intentions : an application to the Parmigiano Reggiano cheese;Simulation;Agriculture & Food;;;E-Commerce;;;;;;;;;;;;Tourism;;Environment;Interaction;2021
Application of selection techniques of optimal planning and evaluation of a system layout in virtual environment;Simulation;;;;;;;;;;Manufacturing;;;;;;;;Environment;Interaction;2019
Evaluating and redesigning virtual reality 'underwater tourism' application based on heuristic method;Simulation;;;;;;;;;;;;;;;;Tourism;Avatar;Environment;Interaction;2020
The practices of virtual reality marketing in the tourism sector, a case study of Bali, Indonesia;Simulation;;;;;;;;;;;;;;;;Tourism;;Environment;Interaction;2021
Actors, Avatars and Agents: Potentials and Implications of Natural Face Technology for the Creation of Realistic Visual Presence;Simulation;;;;;;Entertainment;;;;;;;Research;;;;Avatar;Environment;Interaction;2018
Influence of virtual reality and 3D printing on architectural innovation evaluation based on quality of experience evaluation using fuzzy logic;Simulation;;;;;;;;;;;;Real-Estate;;;;;;Environment;Interaction;2021
User-defined gesture interaction for immersive VR shopping applications;Simulation;;;;E-Commerce;;;;;;;;;;;;;;Environment;Interaction;2019
A survey on new trends of digital twin technology for power systems;Digital Twin;;;;;;;;;;Manufacturing;;;;;;;;Environment;Interaction;2021
A Survey on Deep Learning for Skeleton?Based Human Animation;Simulation;;;;;;Entertainment;;;;;;;;;;;;Environment;Interaction;2022
Digital twin-driven product design framework;Digital Twin;;;;;;;;;;Manufacturing;;;;;;;Avatar;Environment;Interaction;2019
A fingertips-based approach to select maintenance tool automatically in virtual environment;Digital Twin;;;;;;;;;;Manufacturing;;;;;;;Avatar;Environment;Interaction;2019
Reflecting on the Design Process for Virtual Reality Applications;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2019
GaitWear: a smartwatch application for in-the-wild gait normalisation based on a virtual field study assessing the effects of visual and haptic cueing;Simulation;;;;;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2021
Applications of virtual reality modeling language technology for COVID-19 pandemic;Simulation;;;;;Education;;;;;;;;;;;;Avatar;Environment;Interaction;2020
Deep learning based six?dimensional pose estimation in virtual reality;Simulation;;;;;;;;;;;;;;;Sport;;;Environment;Interaction;2022
Factors influencing purchase intent in virtual worlds: a review of the literature;Simulation;;;;E-Commerce;;;;;;;;;Research;;;;Avatar;Environment;Interaction;2019
Application of virtual reality technology and digital twin in digital media communication;Digital Twin;;;;;;Entertainment;;;;;;;;;;;;Environment;Interaction;2021
